ay,A,B,cA,cB,r,S_raw,w_star,S_star,err_star,z_pred,_source
0.7045,0.2166778567091225,0.2658648951807823,3.6151462599265134,2.761308913386334,0.2694275026782573,0.2412713759449524,0.7088228172320341,0.2309999999999999,-2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2154294155788611,0.2666695686065244,3.641891625212784,2.749959191914835,0.280917151654767,0.2410494920926928,0.6961253333351154,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2144756741848726,0.2685890828566424,3.662533426229145,2.7231595169999623,0.2963623075971102,0.2415323785207575,0.69463528133374,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2157509372200069,0.2671052293105954,3.63497407188676,2.7438428389478653,0.281242544266576,0.2414280832653011,0.7030615716969891,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2130233963796811,0.2698066515872958,3.694320046506324,2.706357845949733,0.3111927549043874,0.2414150239834885,0.6834171701747003,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2148858571577417,0.2678423145542994,3.65363339042796,2.733540018365062,0.2901246426771511,0.2413640858560206,0.6957095766133005,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2131220918325848,0.2699714932841716,3.692146137461602,2.7040947836199933,0.3114406873713435,0.2415467925583782,0.6855216112936546,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2164075201680758,0.2661561808487144,3.6209115063253656,2.757192475527778,0.2725128484704955,0.2412818505083951,0.7066759258987778,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.216046617488488,0.2656253479310713,3.628630670662012,2.764700951128715,0.2719228773783404,0.2408359827097797,0.6983911774661248,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2178077487296078,0.2652912555878206,3.591204885191784,2.7694419960591783,0.2598419143672283,0.2415495021587141,0.7221719257218155,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
