ay,A,B,S_raw,w_star,S_star,r,err_star
0.8515,0.2475069660726253,0.2335769063646825,0.2405419362186539,0.0,0.2335769063646825,-0.0762699605095371,0.0025769063646824
0.8515,0.249358412189373,0.2309537745657476,0.2401560933775603,0.0025116188211745,0.231,-0.100896475044828,0.0
0.8515,0.247345061333826,0.2327852197624343,0.2400651405481301,0.0,0.2327852197624343,-0.0798280608820487,0.0017852197624342
0.8515,0.2487692019528665,0.2318318952332946,0.2403005485930805,0.0,0.2318318952332946,-0.0928087174185721,0.0008318952332945
0.8515,0.2485099613828795,0.2324189491793145,0.240464455281097,0.0,0.2324189491793145,-0.0881274959999394,0.0014189491793145
0.8515,0.2489072327279633,0.2309870231235675,0.2399471279257654,0.0007241475808031,0.231,-0.0982974109657559,0.0
0.8515,0.2495830504562352,0.2314018295657932,0.2404924400110142,0.0,0.2314018295657932,-0.099575319086316,0.0004018295657932
0.8515,0.2485947869611457,0.2319041651094786,0.2402494760353121,0.0,0.2319041651094786,-0.0914694438642333,0.0009041651094786
0.8515,0.2478912325139642,0.2331123132345418,0.240501772874253,0.0,0.2331123132345418,-0.0809291105954916,0.0021123132345418
0.8515,0.2488125217169637,0.2324327250442847,0.2406226233806242,0.0,0.2324327250442847,-0.0896697310174421,0.0014327250442847
0.8515,0.2468756282585681,0.2339203215979506,0.2403979749282593,0.0,0.2339203215979506,-0.0709599297724901,0.0029203215979506
0.8515,0.2481723394048626,0.2328567855615321,0.2405145624831973,0.0,0.2328567855615321,-0.0838661926822692,0.0018567855615321
0.8515,0.2469595769500563,0.2340043595046979,0.2404819682273771,0.0,0.2340043595046979,-0.07094249105282,0.0030043595046978
0.8515,0.2493341497192633,0.2317653233300182,0.2405497365246408,0.0,0.2317653233300182,-0.0962032832384118,0.0007653233300182
0.8515,0.249057427783724,0.2310349497383058,0.2400461887610149,0.0,0.2310349497383058,-0.0988308466552132,3.494973830583947e-05
0.8515,0.2505374129856033,0.2313186264916596,0.2409280197386314,0.0,0.2313186264916596,-0.1051323128996384,0.0003186264916595
0.8515,0.2482028482564614,0.2326107439306136,0.2404067960935375,0.0,0.2326107439306136,-0.0854075534938518,0.0016107439306135
0.8515,0.2496450526549359,0.2312661031788753,0.2404555779169056,0.0,0.2312661031788753,-0.1006696242631546,0.0002661031788752
0.8515,0.2493192427129175,0.2325506211101423,0.2409349319115299,0.0,0.2325506211101423,-0.0917182982106299,0.0015506211101422
0.8515,0.2484492608824891,0.2324033014489326,0.2404262811657109,0.0,0.2324033014489326,-0.0878901514483938,0.0014033014489326
0.8515,0.2504480930422945,0.230261860898459,0.2403549769703767,0.0365664625414708,0.231,-0.1106093060363517,0.0
0.8515,0.2452115179746606,0.2354120288463972,0.2403117734105289,0.0,0.2354120288463972,-0.0536834188215848,0.0044120288463972
0.8515,0.2496449637926858,0.2314342443106163,0.2405396040516511,0.0,0.2314342443106163,-0.099723619217213,0.0004342443106163
0.8515,0.2501552244816639,0.230477257653368,0.2403162410675159,0.0265648555662947,0.231,-0.1078337192350868,0.0
0.8515,0.2499011136859873,0.2312366555886563,0.2405688846373218,0.0,0.2312366555886563,-0.1022017564887292,0.0002366555886563
0.8515,0.2496321471926777,0.2311018142966298,0.2403669807446538,0.0,0.2311018142966298,-0.1015250608317568,0.0001018142966298
0.8515,0.2486178799504703,0.2316962557600128,0.2401570678552416,0.0,0.2316962557600128,-0.092760645542083,0.0006962557600128
0.8515,0.249766058554487,0.2307764442060472,0.2402712513802671,0.011772529439027,0.231,-0.1040718032343199,0.0
0.8515,0.2486756105569036,0.2322119748512508,0.2404437927040772,0.0,0.2322119748512508,-0.0901748233544783,0.0012119748512508
0.8515,0.2467518869148295,0.2347144987675224,0.2407331928411759,0.0,0.2347144987675224,-0.0658677441135855,0.0037144987675224
0.8515,0.2502857635033363,0.2309159189746339,0.2406008412389851,0.0043408208693382,0.2309999999999999,-0.1060578476901263,-2.775557561562892e-17
0.8515,0.2465966971715409,0.2344962741680528,0.2405464856697968,0.0,0.2344962741680528,-0.0662479009519783,0.0034962741680527
0.8515,0.2478853681321074,0.2325554050207277,0.2402203865764176,0.0,0.2325554050207277,-0.0840154558058949,0.0015554050207277
0.8515,0.249615449562194,0.2309725602849655,0.2402940049235797,0.0014718595721109,0.231,-0.1021634572021941,0.0
0.8515,0.2501889133184402,0.2309279675580405,0.2405584404382403,0.0037398185351607,0.231,-0.1054737976507207,2.775557561562892e-17
0.8515,0.2498505089062012,0.2316052979534912,0.2407279034298463,0.0,0.2316052979534912,-0.0998591817088512,0.0006052979534912
