alpha,dt,mu,beta,kappa,mscale,c0,ein_rms,ein_rel,mom_rms_abs,mom_rel,mom_rms_abs_src,mom_rel_src,score
4.0,0.1,0.005,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.127487195393953,0.999999999999113,1.127487195393953,0.999999999999113,1.3545778764384973
4.0,0.13,0.005,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.1275944623282697,0.999999999999113,1.1275944623282697,0.999999999999113,1.3545778764384973
4.0,0.13,0.006,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.3532235695441228,0.9999999999992609,1.3532235695441228,0.9999999999992609,1.3545778764386065
4.0,0.1,0.006,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.3530706332238756,0.9999999999992609,1.3530706332238756,0.9999999999992609,1.3545778764386065
4.0,0.15,0.006,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.3533242093581919,0.999999999999261,1.3533242093581919,0.999999999999261,1.3545778764386065
4.0,0.17,0.006,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.3534238048565375,0.999999999999261,1.3534238048565375,0.999999999999261,1.3545778764386065
4.05,0.1,0.003,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.6853035553261423,0.9999999999985408,0.6853035553261423,0.9999999999985408,1.3547529468864081
4.05,0.13,0.003,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.6853439546566611,0.999999999998541,0.6853439546566611,0.999999999998541,1.3547529468864083
4.05,0.17,0.003,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.6853973296768018,0.9999999999985411,0.6853973296768018,0.9999999999985411,1.3547529468864083
4.05,0.15,0.003,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.6853707120357293,0.999999999998541,0.6853707120357293,0.999999999998541,1.3547529468864083
4.05,0.1,0.004,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.9137978985975126,0.9999999999989057,0.9137978985975126,0.9999999999989057,1.3547529468866775
4.05,0.17,0.004,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.9139626565988193,0.9999999999989059,0.9139626565988193,0.9999999999989059,1.3547529468866777
4.05,0.15,0.004,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.9139159938346453,0.9999999999989059,0.9139159938346453,0.9999999999989059,1.3547529468866777
4.05,0.13,0.004,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,0.9138690032063175,0.9999999999989058,0.9138690032063175,0.9999999999989058,1.3547529468866777
4.05,0.1,0.005,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.1423215051384896,0.9999999999991245,1.1423215051384896,0.9999999999991245,1.3547529468868391
4.05,0.13,0.005,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.1424314954632169,0.9999999999991246,1.1424314954632169,0.9999999999991246,1.3547529468868391
4.05,0.17,0.005,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.1425759180970227,0.9999999999991247,1.1425759180970227,0.9999999999991247,1.3547529468868393
4.05,0.15,0.005,14.449854869490585,0.9999999999999987,0.008228508506462891,-103.17973794929507,253.93443308433018,0.9139778701370869,1.1425040237081745,0.9999999999991247,1.1425040237081745,0.9999999999991247,1.3547529468868393
